Output File                                             Name                               Type        FSH File                      Lines
StructureDefinition-t1d-medication-statement.json       T1DMedicationStatement             Profile     T1DMedication.fsh             51 - 75
StructureDefinition-t1d-observation.json                T1DObservation                     Profile     T1DObservations.fsh           1 - 22
StructureDefinition-t1d-organization.json               T1DOrganization                    Profile     T1DProvider.fsh               28 - 48
StructureDefinition-t1d-patient-data-bundle.json        T1DPatientDataBundle               Profile     T1DBundles.fsh                54 - 92
StructureDefinition-t1d-patient.json                    T1DPatient                         Profile     T1DPatient.fsh                1 - 30
StructureDefinition-t1d-provider.json                   T1DProvider                        Profile     T1DProvider.fsh               1 - 26
StructureDefinition-t1d-quality-report-bundle.json      T1DQualityReportBundle             Profile     T1DBundles.fsh                94 - 127
StructureDefinition-t1d-sdoh-observation.json           T1DSDOHObservation                 Profile     T1DObservations.fsh           69 - 78
StructureDefinition-t1d-transition-plan.json            T1DTransitionPlan                  Extension   T1DCondition.fsh              29 - 36
ValueSet-t1d-condition-category-valueset.json           T1DConditionCategoryValueSet       ValueSet    T1DTerminologyAdditional.fsh  54 - 60
ValueSet-t1d-condition-code-valueset.json               T1DConditionCodeValueSet           ValueSet    T1DTerminologyAdditional.fsh  62 - 71
ValueSet-t1d-education-level-valueset.json              T1DEducationLevelValueSet          ValueSet    T1DTerminology.fsh            47 - 57
ValueSet-t1d-encounter-class-valueset.json              T1DEncounterClassValueSet          ValueSet    T1DTerminologyAdditional.fsh  24 - 32
ValueSet-t1d-encounter-reason-valueset.json             T1DEncounterReasonValueSet         ValueSet    T1DTerminologyAdditional.fsh  44 - 52
ValueSet-t1d-encounter-type-valueset.json               T1DEncounterTypeValueSet           ValueSet    T1DTerminologyAdditional.fsh  34 - 42
ValueSet-t1d-family-history-condition-valueset.json     T1DFamilyHistoryConditionValueSet  ValueSet    T1DTerminologyAdditional.fsh  83 - 90
ValueSet-t1d-family-relationship-valueset.json          T1DFamilyRelationshipValueSet      ValueSet    T1DTerminologyAdditional.fsh  73 - 81
ValueSet-t1d-gender-valueset.json                       T1DGenderValueSet                  ValueSet    T1DTerminology.fsh            37 - 45
ValueSet-t1d-glucose-code-valueset.json                 T1DGlucoseCodeValueSet             ValueSet    T1DTerminology.fsh            69 - 76
ValueSet-t1d-glucose-units-valueset.json                T1DGlucoseUnitsValueSet            ValueSet    T1DTerminology.fsh            78 - 84
ValueSet-t1d-hba1c-units-valueset.json                  T1DHbA1cUnitsValueSet              ValueSet    T1DTerminology.fsh            86 - 92
ValueSet-t1d-insulin-delivery-valueset.json             T1DInsulinDeliveryValueSet         ValueSet    T1DTerminologyAdditional.fsh  119 - 125
ValueSet-t1d-insulin-regimen-valueset.json              T1DInsulinRegimenValueSet          ValueSet    T1DTerminology.fsh            94 - 102
ValueSet-t1d-medication-category-valueset.json          T1DMedicationCategoryValueSet      ValueSet    T1DTerminologyAdditional.fsh  92 - 99
ValueSet-t1d-medication-code-valueset.json              T1DMedicationCodeValueSet          ValueSet    T1DTerminologyAdditional.fsh  101 - 108
ValueSet-t1d-medication-route-valueset.json             T1DMedicationRouteValueSet         ValueSet    T1DTerminologyAdditional.fsh  110 - 117
ValueSet-t1d-observation-category-valueset.json         T1DObservationCategoryValueSet     ValueSet    T1DTerminology.fsh            59 - 67
ValueSet-t1d-observation-code-valueset.json             T1DObservationCodeValueSet         ValueSet    T1DTerminologyAdditional.fsh  145 - 153
ValueSet-t1d-organization-type-valueset.json            T1DOrganizationTypeValueSet        ValueSet    T1DTerminologyAdditional.fsh  15 - 22
ValueSet-t1d-provider-specialty-valueset.json           T1DProviderSpecialtyValueSet       ValueSet    T1DTerminologyAdditional.fsh  3 - 13
ValueSet-t1d-sdoh-code-valueset.json                    T1DSDOHCodeValueSet                ValueSet    T1DTerminologyAdditional.fsh  127 - 134
ValueSet-t1d-sdoh-response-valueset.json                T1DSDOHResponseValueSet            ValueSet    T1DTerminologyAdditional.fsh  136 - 143
ValueSet-t1d-transition-plan-valueset.json              T1DTransitionPlanValueSet          ValueSet    T1DTerminology.fsh            104 - 111
